RIC,Trade Date,Open Price,High Price,Low Price,Universal Close Price,Volume
EUR=,1999-07-27,1.064,1.07,1.0605,1.063,
EUR=,1999-07-26,1.0516,1.0722,1.0513,1.0654,
EUR=,1999-07-23,1.0503,1.0545,1.0453,1.051,
EUR=,1999-07-22,1.051,1.0574,1.047,1.0504,
EUR=,1999-07-21,1.04,1.0547,1.0392,1.0527,
EUR=,1999-07-20,1.0315,1.0436,1.0277,1.0409,
EUR=,1999-07-19,1.0182,1.0336,1.012,1.031,
EUR=,1999-07-16,1.0195,1.023,1.018,1.0199,
EUR=,1999-07-15,1.02,1.0252,1.0181,1.0187,
EUR=,1999-07-14,1.0166,1.0226,1.0122,1.0201,
EUR=,1999-07-13,1.0147,1.0209,1.0104,1.016,
EUR=,1999-07-12,1.0192,1.0197,1.0109,1.0144,
EUR=,1999-07-09,1.0218,1.0242,1.0161,1.0195,
EUR=,1999-07-08,1.0188,1.0226,1.0144,1.0216,
EUR=,1999-07-07,1.0245,1.0269,1.0194,1.0216,
EUR=,1999-07-06,1.0222,1.0259,1.018,1.0236,
EUR=,1999-07-05,1.0245,1.0255,1.021,1.022,
EUR=,1999-07-02,1.0238,1.0255,1.0206,1.0245,
EUR=,1999-07-01,1.0359,1.0388,1.0198,1.023,
EUR=,1999-06-30,1.033,1.0356,1.0288,1.0352,
EUR=,1999-06-29,1.0325,1.0367,1.0312,1.0322,
EUR=,1999-06-28,1.0397,1.0436,1.0325,1.0333,
EUR=,1999-06-25,1.0403,1.048,1.0402,1.0428,
EUR=,1999-06-24,1.0333,1.0415,1.0302,1.04,
EUR=,1999-06-23,1.0325,1.0347,1.0268,1.0333,
EUR=,1999-06-22,1.034,1.0356,1.029,1.0323,
EUR=,1999-06-21,1.0386,1.042,1.0305,1.0347,
EUR=,1999-06-18,1.034,1.0422,1.029,1.039,
EUR=,1999-06-17,1.0303,1.0358,1.0288,1.0345,
EUR=,1999-06-16,1.0424,1.0436,1.0285,1.0305,
EUR=,1999-06-15,1.0418,1.0438,1.0376,1.0422,
EUR=,1999-06-14,1.051,1.0515,1.0403,1.042,
EUR=,1999-06-11,1.048,1.0558,1.0464,1.0515,
EUR=,1999-06-10,1.0468,1.0523,1.0431,1.048,
EUR=,1999-06-09,1.046,1.0487,1.0421,1.0465,
EUR=,1999-06-08,1.029,1.0471,1.0263,1.0463,
EUR=,1999-06-07,1.0357,1.0365,1.0254,1.03,
EUR=,1999-06-04,1.0314,1.0377,1.0265,1.0373,
EUR=,1999-06-03,1.0355,1.0418,1.0299,1.0321,
EUR=,1999-06-02,1.0447,1.0461,1.0322,1.0357,
EUR=,1999-06-01,1.0426,1.0473,1.0414,1.045,
EUR=,1999-05-31,1.0455,1.0488,1.0408,1.042,
EUR=,1999-05-28,1.0422,1.0507,1.039,1.0428,
EUR=,1999-05-27,1.0447,1.0488,1.0405,1.0426,
EUR=,1999-05-26,1.0615,1.0625,1.0435,1.0435,
EUR=,1999-05-25,1.0601,1.0644,1.0558,1.0615,
EUR=,1999-05-24,1.0559,1.0606,1.0547,1.06,
EUR=,1999-05-21,1.0612,1.0617,1.0542,1.0588,
EUR=,1999-05-20,1.0665,1.0705,1.061,1.062,
EUR=,1999-05-19,1.0677,1.0687,1.0617,1.0661,
EUR=,1999-05-18,1.0663,1.0709,1.065,1.0678,
EUR=,1999-05-17,1.0672,1.0687,1.0637,1.066,
EUR=,1999-05-14,1.0663,1.0742,1.0631,1.0655,
EUR=,1999-05-13,1.0641,1.0675,1.0598,1.0653,
EUR=,1999-05-12,1.0711,1.0733,1.0634,1.0645,
EUR=,1999-05-11,1.0785,1.0805,1.07,1.0706,
EUR=,1999-05-10,1.0725,1.0841,1.0703,1.0781,
EUR=,1999-05-07,1.0795,1.0815,1.074,1.0754,
EUR=,1999-05-06,1.0752,1.0826,1.0733,1.0783,
EUR=,1999-05-05,1.0628,1.0771,1.0621,1.076,
EUR=,1999-05-04,1.0564,1.0636,1.0557,1.0632,
EUR=,1999-05-03,1.0586,1.0602,1.0547,1.0563,
EUR=,1999-04-30,1.0615,1.0633,1.0537,1.0565,
EUR=,1999-04-29,1.0627,1.0638,1.0572,1.0612,
EUR=,1999-04-28,1.0655,1.0696,1.0601,1.0625,
EUR=,1999-04-27,1.0585,1.0667,1.058,1.0662,
EUR=,1999-04-26,1.0608,1.063,1.0575,1.0591,
EUR=,1999-04-23,1.0644,1.0683,1.0593,1.06,
EUR=,1999-04-22,1.0585,1.0661,1.0558,1.0648,
EUR=,1999-04-21,1.0619,1.0633,1.057,1.0587,
EUR=,1999-04-20,1.0661,1.0684,1.0607,1.0626,
EUR=,1999-04-19,1.0672,1.07,1.0584,1.0665,
EUR=,1999-04-16,1.0694,1.0717,1.0625,1.0709,
EUR=,1999-04-15,1.0808,1.0811,1.0685,1.07,
EUR=,1999-04-14,1.077,1.0818,1.0761,1.0801,
